,img_path,upscale_img_path,label,img_filename,yolo_box,yolo_conf,unet_box,unet_conf,merge_box
0,./train/TRAIN_00000.jpg,./upscale_train/TRAIN_00000.png,Ruddy Shelduck,TRAIN_00000,0,0.0,"[3, 64, 188, 179]",0.98553365,"[3, 64, 188, 179]"
1,./train/TRAIN_00001.jpg,./upscale_train/TRAIN_00001.png,Gray Wagtail,TRAIN_00001,0,0.0,"[93, 79, 147, 234]",0.9519208,"[93, 79, 147, 234]"
2,./train/TRAIN_00002.jpg,./upscale_train/TRAIN_00002.png,Indian Peacock,TRAIN_00002,0,0.0,"[81, 53, 227, 239]",0.8950134,"[81, 53, 227, 239]"
3,./train/TRAIN_00003.jpg,./upscale_train/TRAIN_00003.png,Common Kingfisher,TRAIN_00003,"[2, 93, 92, 236]",0.2551175951957702,"[0, 61, 126, 244]",0.9809076,"[0, 61, 126, 244]"
4,./train/TRAIN_00004.jpg,./upscale_train/TRAIN_00004.png,Common Kingfisher,TRAIN_00004,"[0, 57, 106, 175]",0.4874553978443146,"[0, 37, 152, 190]",0.9632315,"[0, 37, 152, 190]"
5,./train/TRAIN_00005.jpg,./upscale_train/TRAIN_00005.png,Common Rosefinch,TRAIN_00005,0,0.0,"[0, 61, 230, 234]",0.99504036,"[0, 61, 230, 234]"
6,./train/TRAIN_00006.jpg,./upscale_train/TRAIN_00006.png,Jungle Babbler,TRAIN_00006,"[62, 66, 225, 191]",0.6552082896232605,"[47, 76, 256, 240]",0.9441846,"[47, 66, 256, 240]"
7,./train/TRAIN_00007.jpg,./upscale_train/TRAIN_00007.png,Common Tailorbird,TRAIN_00007,"[24, 119, 184, 229]",0.5313507914543152,"[20, 119, 256, 241]",0.95312876,"[20, 119, 256, 241]"
8,./train/TRAIN_00008.jpg,./upscale_train/TRAIN_00008.png,Indian Peacock,TRAIN_00008,"[77, 58, 221, 185]",0.2733313143253326,"[78, 58, 253, 210]",0.98838437,"[77, 58, 253, 210]"
9,./train/TRAIN_00009.jpg,./upscale_train/TRAIN_00009.png,Indian Peacock,TRAIN_00009,"[89, 215, 108, 236]",0.7218343019485474,0,0.0,"[89, 215, 108, 236]"
10,./train/TRAIN_00010.jpg,./upscale_train/TRAIN_00010.png,White-Breasted Waterhen,TRAIN_00010,0,0.0,"[8, 41, 255, 254]",0.9966993,"[8, 41, 255, 254]"
11,./train/TRAIN_00011.jpg,./upscale_train/TRAIN_00011.png,Sarus Crane,TRAIN_00011,"[94, 77, 165, 215]",0.3575769066810608,"[78, 78, 168, 210]",0.9980578,"[78, 77, 168, 215]"
